index,MonsterID,Step,Phase,desc
1,M-ETC001,1,초기 대응,"대상은 D급 '고블린 경비병'. 주변 지형을 이용해 은엄폐하며 접근. 다수의 경우 기습으로 개체 수를 줄이는 것이 유효."
2,M-ETC001,2,교전 수칙,"약점은 [물리 타격]. 방패를 든 개체는 다리를 먼저 공격하여 자세를 무너뜨린 후, 머리를 집중 공격할 것."
3,M-ETC001,3,사후 처리,"경비병이 소지한 '낡은 열쇠'나 '순찰 경로 지도' 등 추가 단서 확보에 주력."
4,M-ETC002,1,초기 대응,"대상은 C급 '탐욕의 그림자'. 그림자 속에 은신하므로, 조명탄이나 섬광탄을 사용해 강제로 실체화시킬 것."
5,M-ETC002,2,교전 수칙,"약점은 [빛]. 실체화된 상태에서 빛 속성 마법 공격 시 추가 피해. 실체화 시간은 짧으므로 화력을 집중해야 함."
6,M-ETC002,3,사후 처리,"처치 시 주변에 떨어뜨리는 '희귀한 보석'이나 '금화'를 회수. 간혹 저주받은 아이템을 드랍하므로 감정 전까지 취급 주의."
7,B-G001-MAIN,1,초기 대응,"A급 보스 '타락한 연구원'. 전투 시작과 동시에 바닥에 '오염 지대'를 생성하므로, 안전 구역을 최우선으로 확보."
8,B-G001-MAIN,2,교전 수칙,"약점은 [신성]. 보호막 역할을 하는 '타락의 오라'는 신성 마법으로만 파괴 가능. 오라 파괴 전까지는 다른 속성 공격이 거의 무효화됨."
9,B-G001-MAIN,3,특수 패턴 대응,"체력이 50% 이하일 때 '금지된 실험'을 시전하여 주변의 모든 것을 끌어들이는 중력장을 생성. 시전 즉시 기둥 뒤로 엄폐할 것."
10,B-G001-MAIN,4,사후 처리,"타락한 마정석과 '파편화된 연구일지(S-001)'는 특수 격리함에 봉인. 연구일지는 협회 연구부로 즉시 이송."
11,M-ETC003,1,초기 대응,"대상은 C급 '맹독 산호 게'. 해안 지형과 유사한 색으로 위장하고 있으므로 열 감지 장비 사용을 권장."
12,M-ETC003,2,교전 수칙,"약점은 [번개]. 등껍질이 매우 단단하나, 번개 속성 공격에 일시적으로 마비되며 방어력이 약화됨. 이때 복부를 집중 공격."
13,M-ETC003,3,특수 패턴 대응,"위험 감지 시 입에서 강력한 '맹독 거품'을 발사. 거품은 착탄 시 넓은 범위에 독 장판을 생성하므로 즉시 이탈."
14,M-ETC004,1,초기 대응,"B급 '심해 아귀'. 발광체를 이용해 요원을 유인하므로, 단독 행동 절대 금지. 2인 1조로 상호 경계하며 접근."
15,M-ETC004,2,교전 수칙,"약점은 [빛]. 발광체를 집중 공격하여 파괴하면, 아귀는 일시적으로 방향 감각을 상실하고 큰 피해를 입음."
16,M-ETC004,3,사후 처리,"심해 아귀의 '발광 주머니'는 희귀한 연금술 재료. 파손되지 않도록 주의하여 채취."
17,M-ETC005,1,초기 대응,"B급 '해룡 사제'는 2-3마리가 무리 지어 행동. 원거리에서 '수압 창'을 투척하므로 엄폐 기동이 필수."
18,M-ETC005,2,교전 수칙,"약점은 [암흑]. 신성한 해룡을 섬기므로 암흑 속성 공격에 매우 취약. 저주 계열 마법으로 치유 및 강화 마법을 차단할 수 있음."
19,B-G002-MAIN,1,초기 대응,"S급 보스 '심연의 군주 아틀라스'. 주기적인 '심연의 해일'을 소환하여 전장을 휩쓸므로, 맵의 가장 높은 제단 위에서 전투를 시작."
20,B-G002-MAIN,2,교전 수칙,"1차 약점 [빛]은 '심연 갑주'를 파괴하는 데 유효. 갑주 파괴 후 드러나는 본체는 2차 약점인 [물리 타격]에 큰 피해를 입음. 역할 분담이 중요."
21,B-G002-MAIN,3,특수 패턴 대응,"'심연의 응시' 시전 시, 보라색 안광이 빛나기 시작. 모든 요원은 즉시 뒤돌아보거나 기둥 뒤로 숨어 시선을 피할 것. 직시할 경우 영구 석화."
22,B-G002-MAIN,4,사후 처리,"핵심 전리품 '심연의 눈물(S-004)'은 강력한 마력을 방출하므로, 즉시 마력 억제함에 봉인하여 이송할 것."
23,B-G003-SUB,1,초기 대응,"A급 보스 '수호자 - 시간의 틈새'. 수호자는 물리적 공격이 통하지 않는 '위상 상태'와 공격이 가능한 '실체 상태'를 주기적으로 전환."
24,B-G003-SUB,2,교전 수칙,"약점은 [시간 왜곡]. '크로노스 스태프'와 같은 시간 조작 아티팩트로 공격 시, 강제로 실체 상태로 만들 수 있음."
25,B-G003-SUB,3,특수 패턴 대응,"'시간 가속' 시전 시, 수호자의 모든 공격 속도가 폭발적으로 증가. 이때는 공격을 중지하고 생존에만 집중할 것."
26,B-G003-MAIN,1,초기 대응,"S급 보스 '차원파괴자'. 전투 공간 자체가 불안정하여, 바닥이 수시로 붕괴되고 생성됨. 항상 발밑을 주시할 것."
27,B-G003-MAIN,2,교전 수칙,"약점은 [현실 조작]. '차원 안정화 장치(S-005)'를 작동시키면, 일시적으로 보스의 방어막을 무력화하고 큰 피해를 줄 수 있는 '현실의 균열'이 생성됨."
28,B-G003-MAIN,3,특수 패턴 대응,"'차원 붕괴' 시전 시, 맵 중앙을 제외한 모든 공간이 즉사 판정의 공허로 변함. 즉시 중앙으로 집결할 것."
29,B-G003-MAIN,4,사후 처리,"보스 처치 후에도 공간이 완전히 안정될 때까지 대기. 불안정한 차원의 파편에 휘말릴 위험이 있음."30,M-ETC006,1,초기 대응,"대상은 B급 '태엽톱니 파수병'. 정면 공격은 대부분 방패에 막히므로, 탱커가 어그로를 끄는 동안 딜러가 측후방을 노리는 것이 기본 전술."
31,M-ETC006,2,교전 수칙,'방패치기'는 높은 피해와 스턴을 유발하므로 반드시 회피. [전격] 속성 공격은 일시적 경직을 유발하여 공격 기회를 만들 수 있음.
32,M-ETC007,1,초기 대응,대상은 C급 '기어다니는 색인기'. 개체는 약하지만 수가 많고 '추적 색인' 디버프가 위협적. 광역 스킬로 최우선 제거 필요.
33,M-ETC007,2,교전 수칙,'추적 색인'에 걸린 아군은 즉시 서포터가 해제해야 함. 방치 시 모든 파수병의 집중 공격을 받게 됨.
34,B-G004-SUB,1,초기 대응,"중간 보스 '해체된 관리인'은 공격 속도가 매우 빠르고 예측이 힘듦. 탱커는 생존에 집중하고, 딜러는 원거리에서 관절부를 집중 공격해야 함."
35,B-G004-SUB,2,핵심 패턴 대응,"'파편 폭풍' 패턴 시전 시, 맵의 기둥 뒤로 숨어 광역 피해를 회피해야 함. 모든 관절 파괴 시 긴 시간 동안 무력화됨."
36,B-G004-MAIN,1,초기 대응,최종 보스 '부식된 사서장'은 주기적으로 '기어다니는 색인기'를 소환함. 딜러진 일부는 소환수 처리를 전담하여 전장 복잡도를 관리해야 함.
37,B-G004-MAIN,2,핵심 패턴 대응,'강제 폐기' 패턴은 대상자에게 [전격] 속성 공격을 집중하여 빠르게 풀어주는 것이 핵심. [성속성] 공격은 보스의 부식 갑옷을 약화시켜 받는 피해를 증폭시킴.
38,B-G004-MAIN,3,후반 페이즈 대응,"체력 50% 이하 '전체 서고 동기화' 발동 시, 지정된 안전지대로 즉시 이동. 안전지대는 주기적으로 바뀌므로 항상 맵을 주시해야 함."
